club_code,state,reporting_group_company_level
006,ZZ,ACG
137,KS,Independent
137,KY,Independent
137,LA,Independent
001,MO,ACE
001,MS,ACE
001,MT,ACE
001,NC,ACE
001,ND,ACE
001,NE,ACE
127,OH,ACA
127,OK,ACA
127,OR,ACA
127,PA,ACA
127,PR,ACA
127,RI,ACA
004,MO,ACE
004,MS,ACE
004,MT,ACE
004,NC,ACE
004,ND,ACE
004,NE,ACE
004,NH,ACE
004,NJ,ACE
004,NM,ACE
004,NV,ACE
004,OH,ACE
004,OK,ACE
004,OR,ACE
128,NH,ACE
128,NJ,ACE
128,NM,ACE
128,NV,ACE
034,OR,ACA
034,PA,ACA
034,PR,ACA
034,RI,ACA
034,SC,ACA
034,SD,ACA
034,TN,ACA
034,TX,ACA
034,UT,ACA
034,VA,ACA
034,VI,ACA
034,VT,ACA
034,WA,ACA
034,WI,ACA
034,WV,ACA
034,WY,ACA
034,ZZ,ACA
036,AK,ACE
036,AL,ACE
036,AR,ACE
036,AZ,ACE
036,CA,ACE
188,SC,Independent
188,SD,Independent
188,TN,Independent
188,TX,Independent
188,UT,Independent
188,VA,Independent
188,VI,Independent
188,VT,Independent
188,WA,Independent
188,WI,Independent
188,WV,Independent
188,WY,Independent
188,ZZ,Independent
189,AK,Independent
189,AL,Independent
189,AR,Independent
189,AZ,Independent
189,CA,Independent
189,CO,Independent
189,CT,Independent
189,DC,Independent
189,DE,Independent
189,FL,Independent
189,GA,Independent
189,HI,Independent
057,PA,Independent
057,PR,Independent
057,RI,Independent
045,OH,AAA NE
045,OK,AAA NE
045,OR,AAA NE
045,PA,AAA NE
045,PR,AAA NE
045,RI,AAA NE
045,SC,AAA NE
045,SD,AAA NE
045,TN,AAA NE
045,TX,AAA NE
045,UT,AAA NE
045,VA,AAA NE
045,VI,AAA NE
045,VT,AAA NE
045,WA,AAA NE
045,WI,AAA NE
045,WV,AAA NE
045,WY,AAA NE
045,ZZ,AAA NE
047,AK,ACG
047,AL,ACG
047,AR,ACG
047,AZ,ACG
047,CA,ACG
047,CO,ACG
047,CT,ACG
047,DC,ACG
047,DE,ACG
047,FL,ACG
047,GA,ACG
047,HI,ACG
047,IA,ACG
047,ID,ACG
047,IL,ACG
047,IN,ACG
047,KS,ACG
047,KY,ACG
047,LA,ACG
047,MA,ACG
047,MD,ACG
047,ME,ACG
047,MI,ACG
047,MN,ACG
047,MO,ACG
047,MS,ACG
047,MT,ACG
047,NC,ACG
047,ND,ACG
047,NE,ACG
047,NH,ACG
047,NJ,ACG
047,NM,ACG
047,NV,ACG
047,OH,ACG
047,OK,ACG
047,OR,ACG
164,DC,ACA
164,DE,ACA
164,FL,ACA
164,GA,ACA
164,HI,ACA
164,IA,ACA
065,SC,ACE
065,SD,ACE
065,TN,ACE
065,TX,ACE
065,UT,ACE
065,VA,ACE
065,VI,ACE
065,VT,ACE
113,SD,ACG
113,TN,ACG
113,TX,ACG
113,UT,ACG
113,VA,ACG
113,VI,ACG
113,VT,ACG
113,WA,ACG
113,WI,ACG
113,WV,ACG
113,WY,ACG
113,ZZ,ACG
133,MS,ACA
133,MT,ACA
133,NC,ACA
133,ND,ACA
133,NE,ACA
133,NH,ACA
133,NJ,ACA
133,NM,ACA
133,NV,ACA
133,OH,ACA
133,OK,ACA
133,OR,ACA
133,PA,ACA
133,PR,ACA
133,RI,ACA
133,SC,ACA
133,SD,ACA
164,ID,ACA
164,IL,ACA
164,IN,ACA
164,KS,ACA
164,KY,ACA
164,LA,ACA
066,VI,MWG
066,VT,MWG
066,WA,MWG
066,WI,MWG
066,WV,MWG
066,WY,MWG
133,TN,ACA
133,TX,ACA
133,UT,ACA
133,VA,ACA
133,VI,ACA
034,DE,ACA
034,FL,ACA
034,GA,ACA
034,HI,ACA
034,IA,ACA
034,ID,ACA
034,IL,ACA
034,IN,ACA
034,KS,ACA
036,CO,ACE
036,CT,ACE
036,DC,ACE
036,DE,ACE
036,FL,ACE
036,GA,ACE
036,HI,ACE
036,IA,ACE
036,ID,ACE
036,IL,ACE
135,GA,Independent
135,HI,Independent
135,IA,Independent
